s,x,y,psi,kappa,v
0.0,6.081116042995225,-8.836500013472342,2.900365,-1.937418,0.44428549
0.099625,5.97938896611159,-8.811495680031646,2.908912,0.527567,0.84562048
0.199245,5.825515067901541,-8.777905066469856,3.00548,0.749939,0.7112175
0.298848,5.695331005010592,-8.760920527379408,3.058317,-0.165522,1.47987986
0.398494,5.647089308649407,-8.759108681742992,2.9725,-0.929035,0.63980993
0.498058,5.607062027966842,-8.755271877353907,2.873244,-0.99286,0.61911557
0.597641,5.567142722240137,-8.747308475511467,2.774775,-1.399921,0.52214881
0.6972,5.571162930892814,-8.759273675643085,2.594461,-1.676256,0.47745238999999995
0.796545,5.560814889198449,-8.761188224431038,2.441361,-1.34495,0.53263549
0.896139,5.534529587012169,-8.74417261737538,2.326898,-1.129075,0.58091892
0.995708,5.508914923772169,-8.722335639009076,2.216491,-1.187522,0.5665653
1.095241,5.490602285858392,-8.705938250948302,2.09046,-1.210486,0.56120974
1.19488,5.471888847905628,-8.681219423797831,1.975396,-1.289497,0.54388136
1.294397,5.4605489823281,-8.670024612528016,1.833649,-1.318374,0.53793711
1.393891,5.449246342892149,-8.644796949427587,1.713025,-1.255433,0.55115303
1.493467,5.441139809210952,-8.623517431222998,1.58373,-1.240092,0.55452459
1.593048,5.43661345732244,-8.594439059068806,1.466052,-0.888232,0.65418029
1.692593,5.442265440210634,-8.530628197713463,1.40686,-0.499513,0.86858869
1.79218,5.454095951381475,-8.456129926300045,1.366583,-0.078309,1.705
1.891765,5.477114526317979,-8.344079897111095,1.391263,-0.295396,1.12191573
1.99134,5.4839004307604124,-8.294977885751388,1.307752,-0.407435,0.95961523
2.090977,5.510173368890764,-8.197406310725476,1.310097,-0.308252,1.09902068
2.190615,5.524819890637342,-8.137769881165717,1.246325,-0.362519,1.01582133
2.290194,5.55493025668058,-8.048185364013829,1.237877,-0.106971,1.705
2.389837,5.58492706988983,-7.961286684701595,1.225014,-0.22553,1.27752395
2.489485,5.6118865657508135,-7.88554039384526,1.192931,0.161022,1.49921983
2.58912,5.661693596974932,-7.756715188339665,1.257103,0.643595,0.76689722
2.688708,5.703102899928298,-7.625080825260678,1.32115,0.579372,0.80760115
2.788315,5.734555477656391,-7.49851810891382,1.372511,0.537787,0.83769502
2.887945,5.75985675473185,-7.367855642623665,1.428297,0.03188,1.705
2.987562,5.769067329940305,-7.298494423322517,1.378863,-0.296523,1.11985051
3.087201,5.786941969885698,-7.206364977859839,1.369213,-0.070773,1.705
3.186805,5.806345394629178,-7.111389673490025,1.364762,0.486343,0.88003699
3.286396,5.836122570715532,-6.953871953398161,1.46609,0.86278,0.66365017
3.385916,5.8494592177894935,-6.812727001287168,1.536551,0.931517,0.6389657999999999
3.485424,5.851265371539575,-6.644367261484713,1.651488,1.332871,0.53502559
3.585014,5.8292361116017775,-6.456027596038733,1.801923,1.260128,0.55013313
3.684568,5.7896898211578165,-6.301201741475869,1.902435,1.375606,0.52671046
3.784127,5.715067019412233,-6.112131479164234,2.075824,1.909275,0.44753088
3.883476,5.596366529408121,-5.923739908742272,2.282205,1.761459,0.46582862999999997
3.982902,5.470643841858135,-5.787365746130208,2.425958,1.64491,0.48195266
4.082465,5.306235338474506,-5.657791606496719,2.609524,1.786137,0.46261734
4.181796,5.127829985567242,-5.563000801010778,2.78121,1.462271,0.51097269
4.281346,4.966443258540425,-5.506728018879763,2.900342,0.847019,0.66972493
4.380945,4.840696702495441,-5.476547312237452,2.949893,0.338112,1.05082994
4.480582,4.732368577053586,-5.455619358075934,2.967706,0.260048,1.19308491
4.580216,4.6140938239493305,-5.435195958044823,3.001713,0.530168,0.84358192
4.679849,4.472687961870248,-5.416839517257873,3.073351,1.167874,0.5712711
4.779485,4.276743509759798,-5.411233246667719,3.234434,1.359874,0.52972614
4.879094,4.112401095098261,-5.430168253338547,3.344299,1.068912,0.5968960099999999
4.978738,3.954939624322229,-5.465784471843094,3.447418,1.221285,0.55874338
5.078276,3.781866653804273,-5.526597582882612,3.587557,1.243084,0.55386212
5.177809,3.635579941997298,-5.600362081672884,3.69488,1.199804,0.5636819900000001
5.277391,3.4866011244001274,-5.698472616425133,3.826456,1.037231,0.60585749
