s,x,y,psi,kappa,v
0.0,5.770550283172237,-10.098858484282266,2.900365,0.0,0.9996999999999999
0.099625,5.679628539536479,-10.076463539963079,2.908912,0.0,0.9996999999999999
0.199245,5.649120087448202,-10.065882089118501,3.00548,0.0,0.9996999999999999
0.298848,5.587190494154308,-10.056414884724024,3.058317,0.0,0.9996999999999999
0.398494,5.428322473242359,-10.040569204633176,2.9725,0.0,0.9996999999999999
0.498058,5.262373467372016,-10.008742976420443,2.873244,0.0,0.9996999999999999
0.597641,5.100904824053175,-9.960824945236622,2.774775,0.0,0.9996999999999999
0.6972,4.894855413958384,-9.86950254508307,2.594461,0.0,0.9996999999999999
0.796545,4.723101629268478,-9.75528907149712,2.441361,0.0,0.9996999999999999
0.896139,4.588756648485803,-9.636088279728723,2.326898,0.0,0.9996999999999999
0.995708,4.470628922265804,-9.504615754489409,2.216491,0.0,0.9996999999999999
1.095241,4.362221166498543,-9.351504707226983,2.09046,0.0,0.9996999999999999
1.19488,4.276849010776767,-9.192961338902531,1.975396,0.0,0.9996999999999999
1.294397,4.2051996872838835,-9.007808785383983,1.833649,0.0,0.9996999999999999
1.393891,4.162373433292494,-8.829074225667817,1.713025,0.0,0.9996999999999999
1.493467,4.141248555920557,-8.6403319969065,1.58373,0.0,0.9996999999999999
1.593048,4.143738633123821,-8.458517431086392,1.466052,0.0,0.9996999999999999
1.692593,4.159695319754261,-8.318463436000958,1.40686,0.0,0.9996999999999999
1.79218,4.181107890054947,-8.192498752649945,1.366583,0.0,0.9996999999999999
1.891765,4.198008719295693,-8.11194128670372,1.391263,0.0,0.9996999999999999
1.99134,4.228617330779518,-7.956947799956713,1.307752,0.0,0.9996999999999999
2.090977,4.254099569627441,-7.862326304153611,1.310097,0.0,0.9996999999999999
2.190615,4.292656294256434,-7.72331497197333,1.246325,0.0,0.9996999999999999
2.290194,4.326312700539324,-7.623333741983867,1.237877,0.0,0.9996999999999999
2.389837,4.3618717517951975,-7.520678367848139,1.225014,0.0,0.9996999999999999
2.489485,4.40359600662405,-7.405921873847196,1.192931,0.0,0.9996999999999999
2.58912,4.425132303529246,-7.355571613603724,1.257103,0.0,0.9996999999999999
2.688708,4.443403116750319,-7.303901037195875,1.32115,0.0,0.9996999999999999
2.788315,4.46002794273421,-7.242433039600543,1.372511,0.0,0.9996999999999999
2.887945,4.473032786146174,-7.183236916939057,1.428297,0.0,0.9996999999999999
2.987562,4.492938948402978,-7.050509839457064,1.378863,0.0,0.9996999999999999
3.087201,4.513267035133353,-6.946072525830187,1.369213,0.0,0.9996999999999999
3.186805,4.533839539599293,-6.845440714261637,1.364762,0.0,0.9996999999999999
3.286396,4.543243167498546,-6.817993887702146,1.46609,0.0,0.9996999999999999
3.385916,4.550221412578925,-6.76821716516497,1.536551,0.0,0.9996999999999999
3.485424,4.555496066537163,-6.749161861601167,1.651488,0.0,0.9996999999999999
3.585014,4.563802869797927,-6.753817304621478,1.801923,0.0,0.9996999999999999
3.684568,4.560529375315881,-6.724480134944819,1.902435,0.0,0.9996999999999999
3.784127,4.577354644019061,-6.741107274308392,2.075824,0.0,0.9996999999999999
3.883476,4.611691215690525,-6.772512273134017,2.282205,0.0,0.9996999999999999
3.982902,4.617718517832175,-6.768445962848092,2.425958,0.0,0.9996999999999999
4.082465,4.6467294384464095,-6.778082625753827,2.609524,0.0,0.9996999999999999
4.181796,4.669402350171552,-6.7794892321540905,2.78121,0.0,0.9996999999999999
4.281346,4.655851031702838,-6.769079977973609,2.900342,0.0,0.9996999999999999
4.380945,4.593006180421987,-6.752732802389639,2.949893,0.0,0.9996999999999999
4.480582,4.507462993437484,-6.736016748911411,2.967706,0.0,0.9996999999999999
4.580216,4.43283303872578,-6.722497215614372,3.001713,0.0,0.9996999999999999
4.679849,4.384043211151377,-6.713813729865815,3.073351,0.0,0.9996999999999999
4.779485,4.397269738613569,-6.705634045554327,3.234434,0.0,0.9996999999999999
4.879094,4.374112555718694,-6.703552371105028,3.344299,0.0,0.9996999999999999
4.978738,4.346342271624066,-6.705463449516392,3.447418,0.0,0.9996999999999999
5.078276,4.342600737228349,-6.699447653303619,3.587557,0.0,0.9996999999999999
5.177809,4.318706234336486,-6.706408404714969,3.69488,0.0,0.9996999999999999
5.277391,4.308946188199851,-6.705323447504011,3.826456,0.0,0.9996999999999999
5.37697,4.271195473482143,-6.733616241222973,3.901456,0.0,0.9996999999999999
5.476607,4.241406782418974,-6.758237777181264,3.98883,0.0,0.9996999999999999
5.576171,4.221201343384085,-6.775279398116729,4.093899,0.0,0.9996999999999999
5.675755,4.198052280201457,-6.802792216041098,4.185087,0.0,0.9996999999999999
5.775365,4.1788798323521,-6.829324621906102,4.280998,0.0,0.9996999999999999
5.874993,4.144647368996831,-6.9031230654844284,4.307111,0.0,0.9996999999999999
5.974635,4.09798685784334,-7.0112847448086955,4.281172,0.0,0.9996999999999999
6.07428,4.0334710279478925,-7.147107758981372,4.20867,0.0,0.9996999999999999
6.173847,3.9533002069924343,-7.286943873102627,4.120554,0.0,0.9996999999999999
6.273451,3.8660277520770903,-7.413066871805465,4.04368,0.0,0.9996999999999999
6.373076,3.775922443064835,-7.524874208631715,3.980844,0.0,0.9996999999999999
6.472623,3.644619826299647,-7.662349545368207,3.851233,0.0,0.9996999999999999
6.572129,3.5049559215766184,-7.776170322620861,3.735836,0.0,0.9996999999999999
6.671746,3.405160636032664,-7.8432366877890916,3.706365,0.0,0.9996999999999999
6.771382,3.30233034697221,-7.90798779209803,3.675111,0.0,0.9996999999999999
6.871019,3.1964574492899374,-7.970078477994733,3.642098,0.0,0.9996999999999999
6.970664,3.0960402860064304,-8.024826207255359,3.621062,0.0,0.9996999999999999
7.070311,2.9818036747550023,-8.083553835578375,3.579907,0.0,0.9996999999999999
7.169957,2.8341828904499993,-8.14969956742304,3.491085,0.0,0.9996999999999999
7.26939,2.6204355494870404,-8.215811990319828,3.312957,0.0,0.9996999999999999
7.368928,2.431942847239645,-8.242439815697223,3.182971,0.0,0.9996999999999999
7.468331,2.2021686766934865,-8.239753257697966,2.996082,0.0,0.9996999999999999
7.567738,1.9772350640877345,-8.194538607324843,2.809713,0.0,0.9996999999999999
7.667215,1.767035670762823,-8.109839753110947,2.627489,0.0,0.9996999999999999
7.766827,1.5903817435966952,-8.000447452650585,2.472584,0.0,0.9996999999999999
7.866218,1.3856209690211219,-7.808441694454514,2.212056,0.0,0.9996999999999999
7.965436,1.2434706744568147,-7.585148643622104,1.974467,0.0,0.9996999999999999
8.064706,1.1529877409914413,-7.300502053444382,1.687639,0.0,0.9996999999999999
8.163938,1.1402159249999593,-7.049748265183456,1.469775,0.0,0.9996999999999999
8.263431,1.1590553253689457,-6.890320098657726,1.382492,0.0,0.9996999999999999
8.363026,1.1892536290474713,-6.742063634360283,1.308567,0.0,0.9996999999999999
8.462669,1.2081672990882812,-6.673899254715949,1.349883,0.0,0.9996999999999999
8.562259,1.2228691355763577,-6.61285664965253,1.402491,0.0,0.9996999999999999
8.661893,1.2377837084321792,-6.525606760109156,1.418367,0.0,0.9996999999999999
8.761536,1.2617329164759137,-6.38035575958254,1.350383,0.0,0.9996999999999999
8.861111,1.2844481237185053,-6.279034982259393,1.344292,0.0,0.9996999999999999
8.960731,1.3064762762768851,-6.183459508684093,1.346483,0.0,0.9996999999999999
9.060379,1.3347067375701493,-6.061772960016874,1.31038,0.0,0.9996999999999999
9.160014,1.356056782942043,-5.982503594650472,1.335445,0.0,0.9996999999999999
9.259659,1.382806000550505,-5.871594062130554,1.314807,0.0,0.9996999999999999
9.359298,1.4266776284815124,-5.715133650587812,1.224924,0.0,0.9996999999999999
9.458932,1.46761011101508,-5.602412112836142,1.195941,0.0,0.9996999999999999
9.55857,1.5090289805990653,-5.497482780790722,1.177117,0.0,0.9996999999999999
9.658201,1.5552965852168383,-5.386856452559166,1.14815,0.0,0.9996999999999999
9.757823,1.6235224568425695,-5.241615451674078,1.061138,0.0,0.9996999999999999
9.857425,1.6931530254125629,-5.119490494948485,1.002586,0.0,0.9996999999999999
9.957074,1.7364438281966081,-5.052196887777003,1.030625,0.0,0.9996999999999999
10.056691,1.7837525212605891,-4.973386112505349,1.041627,0.0,0.9996999999999999
10.156303,1.8198082075870583,-4.912941365406283,1.083401,0.0,0.9996999999999999
10.255949,1.8450742064734054,-4.868929445147088,1.153357,0.0,0.9996999999999999
10.355593,1.9047597493510082,-4.737830107486806,1.089879,0.0,0.9996999999999999
10.455214,1.9527676593213692,-4.645846332238525,1.083983,0.0,0.9996999999999999
10.554863,1.996521631413266,-4.563242386456099,1.092788,0.0,0.9996999999999999
10.654508,2.035443532937643,-4.488480413721936,1.114744,0.0,0.9996999999999999
10.75411,2.0795202774494665,-4.398629176315796,1.114052,0.0,0.9996999999999999
10.85372,2.141805966189872,-4.274388795672692,1.057782,0.0,0.9996999999999999
10.953317,2.204757350959317,-4.163753216410427,1.018226,0.0,0.9996999999999999
11.052952,2.2356663044681837,-4.116134486961725,1.079509,0.0,0.9996999999999999
11.152584,2.2808604766597353,-4.031687830864678,1.085017,0.0,0.9996999999999999
