s,x,y,psi,kappa,v
0.0,6.0094464740663724,-9.12781337205754,2.900365,0.0,3.0
0.099625,5.910214029084353,-9.103411469409178,2.908912,0.0,3.0
0.199245,5.784809827217568,-9.075130710357236,3.00548,0.0,3.0
0.298848,5.670373830943805,-9.05988062416195,3.058317,0.0,3.0
0.398494,5.596606403824246,-9.054830639545779,2.9725,0.0,3.0
0.498058,5.527516866236388,-9.04453398557259,2.873244,0.0,3.0
0.597641,5.459549985188157,-9.027350977525995,2.774775,0.0,3.0
0.6972,5.415092923935431,-9.015480921697606,2.594461,0.0,3.0
0.796545,5.36749645451669,-8.990596120572812,2.441361,0.0,3.0
0.896139,5.316273841167716,-8.949998829036458,2.326898,0.0,3.0
0.995708,5.26931058131577,-8.902861978018416,2.216491,0.0,3.0
1.095241,5.230206873409014,-8.854915528328947,2.09046,0.0,3.0
1.19488,5.196110017934195,-8.799312763752777,1.975396,0.0,3.0
1.294397,5.170852804063774,-8.747974110923327,1.833649,0.0,3.0
1.393891,5.1522757623830735,-8.687323109763621,1.713025,0.0,3.0
1.493467,5.141164908364393,-8.627398006214744,1.58373,0.0,3.0
1.593048,5.138257797988578,-8.563071870091537,1.466052,0.0,3.0
1.692593,5.146287752429881,-8.48166690344914,1.40686,0.0,3.0
1.79218,5.160329246715464,-8.395293068785685,1.366583,0.0,3.0
1.891765,5.181936140187185,-8.290510126137454,1.391263,0.0,3.0
1.99134,5.194219859175723,-8.216970408885519,1.307752,0.0,3.0
2.090977,5.22030998755613,-8.120080893413837,1.310097,0.0,3.0
2.190615,5.240474821192261,-8.042125323113247,1.246325,0.0,3.0
2.290194,5.271403697821362,-7.950141035123659,1.237877,0.0,3.0
2.389837,5.302683175297591,-7.859608840666346,1.225014,0.0,3.0
2.489485,5.3330502939239866,-7.774859169088224,1.192931,0.0,3.0
2.58912,5.376333118796398,-7.664144148081945,1.257103,0.0,3.0
2.688708,5.412402958378591,-7.550962379628036,1.32115,0.0,3.0
2.788315,5.440433736971178,-7.439421563699229,1.372511,0.0,3.0
2.887945,5.4628972419919615,-7.3252522648807545,1.428297,0.0,3.0
2.987562,5.474576182241639,-7.241267122782136,1.378863,0.0,3.0
3.087201,5.4930172373066215,-7.14629625403874,1.369213,0.0,3.0
3.186805,5.51268997176211,-7.050017915952908,1.364762,0.0,3.0
3.286396,5.5377659896762275,-6.92251353254857,1.46609,0.0,3.0
3.385916,5.549635105829794,-6.802455590108862,1.536551,0.0,3.0
3.485424,5.552241857904099,-6.668552759251245,1.651488,0.0,3.0
3.585014,5.53721267627307,-6.524746685266621,1.801923,0.0,3.0
3.684568,5.506038021887503,-6.398883145938356,1.902435,0.0,3.0
3.784127,5.45251732567657,-6.257278502293568,2.075824,0.0,3.0
3.883476,5.369133870928599,-6.119610577604105,2.282205,0.0,3.0
3.982902,5.273814952179395,-6.01376890023332,2.425958,0.0,3.0
