s,x,y,psi,kappa,v_ref
0,2.09726,-0.977045,-0.0705616,0.267311,0
0.2,2.29454,-1.00965,-0.051057,0.204494,0
0.4,2.49409,-1.02232,-0.0418309,0.154984,0
0.6,2.69406,-1.02078,-0.0372926,0.127815,0
0.8,2.89392,-1.01312,-0.0152915,0.0870421,0
1,3.09388,-1.01,-0.00249162,0.0371595,0
1.2,3.29387,-1.0114,-0.000413778,0.0257851,0
1.4,3.49384,-1.01403,0.00787043,0.0914567,0
1.6,3.69382,-1.01531,0.0361995,0.204481,0
1.8,3.89364,-1.02363,0.0896552,0.322184,0
2,4.09355,-1.02064,0.165052,0.422736,0
2.2,4.29122,-0.991352,0.258756,0.515413,0
2.4,4.48192,-0.931638,0.371216,0.596002,0
2.6,4.66157,-0.844077,0.497175,0.636304,0
2.8,4.82857,-0.734211,0.625727,0.632944,0
3,4.98013,-0.603837,0.750338,0.612093,0
3.2,5.11709,-0.458214,0.870615,0.60209,0
3.4,5.23808,-0.299076,0.99124,0.602773,0
3.6,5.3391,-0.126593,1.11169,0.584929,0
3.8,5.42001,0.0562095,1.22521,0.538646,0
4,5.476,0.248014,1.32715,0.47113,0
4.2,5.50259,0.446102,1.41365,0.38887,0
4.4,5.5085,0.645982,1.4827,0.299172,0
4.6,5.50776,0.845978,1.5333,0.201097,0
4.8,5.50403,1.04594,1.56311,0.103527,0
5,5.50153,1.24592,1.57476,0.0336737,0
5.2,5.5,1.44591,1.5766,0.000631498,0
5.4,5.5,1.64591,1.57501,-0.00955492,0
5.6,5.5,1.84591,1.57278,-0.00916863,0
5.8,5.5,2.04591,1.57134,-0.00496328,0
6,5.5,2.24591,1.5708,-0.00136245,0
6.2,5.5,2.44591,1.5708,-7.93016e-16,0
6.4,5.5,2.64591,1.5708,7.93016e-16,0
6.6,5.5,2.84591,1.5708,7.93016e-16,0
6.8,5.5,3.04591,1.5708,-5.18394e-30,0
7,5.5,3.24591,1.5708,-5.18394e-30,0
7.2,5.5,3.44591,1.5708,-5.18394e-30,0
7.4,5.5,3.64591,1.5708,7.93016e-16,0
7.6,5.5,3.84591,1.5708,-6.87436e-30,0
7.8,5.5,4.04591,1.5708,-1.58603e-15,0
8,5.5,4.24591,1.5708,1.26218e-29,0
8.2,5.5,4.44591,1.5708,7.93016e-16,0
8.4,5.5,4.64591,1.5708,6.98705e-30,0
8.6,5.5,4.84591,1.5708,6.98705e-30,0
8.8,5.5,5.04591,1.5708,6.98705e-30,0
9,5.5,5.24591,1.5708,7.93016e-16,0
9.2,5.5,5.44591,1.5708,7.93016e-16,0
9.4,5.5,5.64591,1.5708,-7.93016e-16,0
9.6,5.5,5.84591,1.5708,-7.93016e-16,0
9.8,5.5,6.04591,1.5708,-0.0019435,0
10,5.5,6.24591,1.57002,-0.0160736,0
10.2,5.5,6.44591,1.56436,-0.0351113,0
10.4,5.5,6.64591,1.55598,-0.0195686,0
10.6,5.5,6.84591,1.55656,0.0568503,0
10.8,5.50218,7.04588,1.57885,0.196051,0
11,5.51582,7.2454,1.63527,0.389802,0
11.2,5.52564,7.44512,1.73493,0.609812,0
11.4,5.51419,7.64455,1.87874,0.818515,0
11.6,5.46391,7.83755,2.06178,0.980425,0
11.8,5.36239,8.00872,2.27052,1.055,0
12,5.21155,8.1386,2.48345,1.02839,0
12.2,5.03013,8.22149,2.68147,0.918573,0
12.4,4.83561,8.26701,2.85033,0.746888,0
12.6,4.63683,8.28832,2.97979,0.533607,0
12.8,4.43704,8.29743,3.06395,0.321847,0
13,4.23707,8.29978,3.10883,0.15951,0
13.2,4.03715,8.29497,3.12788,0.0577524,0
13.4,3.83734,8.28654,3.13197,0.00141981,0
13.6,3.63735,8.28715,3.12846,-0.0295249,0
