x,y
2.191476345,0.314687516
2.291261968,0.315663619
2.391255070,0.316715258
2.491102940,0.317809505
2.591076680,0.318923611
2.690975184,0.320033768
2.790897471,0.321125819
2.890804755,0.322187203
2.990711173,0.323209611
3.090610896,0.324193132
3.190489108,0.325144903
3.290394917,0.326053450
3.390224803,0.326905393
3.490186470,0.327814970
3.590065007,0.329042991
3.689995989,0.331385422
3.789826905,0.335743689
3.889490397,0.342586529
3.989005303,0.352395580
4.087947915,0.366027638
4.186277627,0.384501683
4.283141592,0.408720082
4.378157633,0.439848644
4.469867825,0.478944947
4.557739711,0.526305241
4.641334964,0.581018036
4.719288385,0.643348288
4.789512282,0.714067145
4.851686965,0.792402806
4.905602118,0.876090211
4.951816456,0.964860057
4.990055994,1.056806193
5.021457853,1.151876049
5.046552409,1.248409568
5.066358098,1.346518655
5.081713181,1.445208516
5.093797990,1.544419353
5.102959716,1.643840662
5.108744921,1.743662178
5.111800538,1.843600875
5.113933224,1.943632434
5.116059185,2.043484196
5.118212762,2.143330398
5.120418580,2.243213693
5.122723743,2.343185015
5.125098117,2.443043761
5.127467282,2.543023640
5.129779458,2.642813743
5.132024695,2.742779642
5.134183256,2.842545008
5.136257980,2.942552773
5.138238015,3.042282186
5.140138674,3.142334983
5.141953515,3.242035963
5.143703023,3.342114253
5.145381363,3.441874241
5.147004741,3.541888811
5.148572886,3.641709888
5.150098083,3.741652994
5.151584892,3.841536684
5.153041510,3.941404013
5.154476917,4.041348215
5.155895397,4.141141159
5.157309468,4.241139655
5.158719907,4.340905633
5.160139922,4.440909388
5.161569223,4.540739814
5.163016105,4.640661472
5.164481487,4.740536160
5.165966919,4.840408159
5.167471431,4.940298321
5.168989883,5.040171989
5.170514972,5.140039379
5.172035016,5.239930202
5.173533120,5.339782411
5.174988466,5.439643887
5.176375098,5.539557791
5.177658702,5.639336338
5.178804724,5.739397167
5.179761391,5.839031216
5.180490409,5.939212058
5.180929575,6.038750678
5.181007090,6.138862605
5.180668430,6.238474686
5.179909016,6.338527045
5.178613143,6.438235982
5.176447658,6.538430439
5.172612731,6.638284533
5.165651228,6.738170321
5.154748266,6.837477863
5.139822589,6.936323247
5.120661960,7.034403804
5.096772025,7.131456493
5.067768646,7.227074325
5.033382906,7.320886728
4.993387194,7.412426788
4.947601571,7.501165994
4.896120083,7.586719254
4.839151168,7.668926325
4.776140029,7.746316174
4.705694837,7.816997556
4.628648304,7.880459661
4.546615106,7.937577479
4.460657535,7.988271313
4.370985789,8.032465754
4.278592949,8.070165677
4.183659376,8.101824048
4.087237509,8.127382599
3.989237050,8.147113368
3.890501049,8.161165896
3.791056141,8.169729722
3.691207844,8.172745612
3.591247082,8.171598521
3.491338059,8.169140405
3.391479120,8.166718937
3.291841159,8.164421588
3.191773842,8.162259504
3.092203200,8.160262055
2.991963032,8.158391519
2.892472703,8.156650269
2.792139108,8.154986388
2.692663399,8.153405525
2.592338659,8.151860835
2.492809293,8.150360082
2.392560596,8.148864784
2.292915959,8.147383102
2.192780701,8.145901646
2.093026319,8.144442620
1.992991759,8.143018106
1.893103105,8.141664883
1.793144061,8.140446423
1.693090696,8.139439891
1.593193888,8.138654072
1.493168611,8.138050065
1.393293257,8.137581448
1.293389514,8.137189665
1.193486857,8.136829643
1.093610976,8.136468768
0.993686105,8.136085079
0.893816679,8.135669198
0.793886107,8.135215415
0.694023449,8.134723943
0.594092618,8.134194492
0.494225790,8.133628594
0.394300479,8.133021895
0.294427875,8.132366311
0.194510426,8.131671027
0.094630009,8.130968770
-0.005279487,8.130273276
-0.105167091,8.129577039
-0.205069963,8.128876303
-0.304962795,8.128173601
-0.404861739,8.127469940
-0.504756659,8.126765082
-0.604655424,8.126059094
-0.704548603,8.125352572
-0.804451562,8.124645852
-0.904338778,8.123939480
-1.004250511,8.123233578
-1.104127514,8.122528993
-1.204052380,8.121825548
-1.303915180,8.121124402
-1.403856885,8.120424907
-1.503702277,8.119728603
-1.603663417,8.119034297
-1.703488814,8.118343977
-1.803470606,8.117655668
-1.903276165,8.116971663
-2.003277484,8.116289775
-2.103061351,8.115613054
-2.203080244,8.114936884
-2.302853708,8.114263626
-2.402881985,8.113598122
-2.502633037,8.112957047
-2.602666955,8.112359826
-2.702433445,8.111839228
-2.802462595,8.111443987
-2.902396430,8.111231889
-3.002364879,8.111211016
-3.102415597,8.111364091
-3.202308249,8.111654264
-3.302324431,8.112034285
-3.402208798,8.112474915
-3.502198210,8.112964989
-3.602096645,8.113500183
-3.702059433,8.114086653
-3.801951983,8.114749307
-3.901893166,8.115532186
-4.001757853,8.116424116
-4.101657876,8.117374900
-4.201461613,8.118549105
-4.301421275,8.120235153
-4.401203729,8.121758314
-4.501187182,8.121844248
-4.600907485,8.120044525
-4.700933472,8.116147290
-4.800298189,8.108594660
-4.899562175,8.095441147
-4.997373917,8.076300058
-5.093946129,8.050842309
-5.188468530,8.018691429
-5.280164201,7.979111975
-5.367619035,7.930958343
-5.449580762,7.873884013
-5.524950086,7.808536071
-5.593189450,7.735503325
-5.653415834,7.656119399
-5.705744462,7.570760116
-5.749675436,7.481340108
-5.786825615,7.388292066
-5.818070146,7.293566368
-5.843850316,7.196933223
-5.864032439,7.099234512
-5.878838063,7.000270236
-5.888719592,6.900782384
-5.895168565,6.801025919
-5.899268195,6.701055214
-5.901059706,6.601225529
-5.900960584,6.501149935
-5.900165732,6.401242999
-5.899278994,6.301354339
-5.898055505,6.201515981
-5.896441932,6.101792764
-5.894589183,6.001980643
-5.892616995,5.902156053
-5.890615346,5.802436312
-5.888622789,5.702475230
-5.886676067,5.602775929
-5.884775928,5.502847577
-5.882928204,5.403038190
-5.881116667,5.303181206
-5.879327498,5.203232385
-5.877553620,5.103466092
-5.875775437,5.003407873
-5.873994332,4.903704098
-5.872189910,4.803590819
-5.870372717,4.703920129
-5.868520373,4.603803652
-5.866644484,4.504100546
-5.864748614,4.404021327
-5.862878318,4.304314482
-5.861071022,4.204305742
-5.859397552,4.104449357
-5.857957078,4.004477934
-5.856880111,3.904283666
-5.856214840,3.804283845
-5.855919137,3.704227836
-5.855927366,3.604154296
-5.856130955,3.504450777
-5.856439858,3.404289068
-5.856798763,3.304667842
-5.857174668,3.204427340
-5.857553258,3.104844489
-5.857939274,3.004568055
-5.858340424,2.904989225
-5.858778531,2.804755564
-5.859266401,2.705100417
-5.859829330,2.605005178
-5.860486106,2.505226009
-5.861263007,2.405344811
-5.862182336,2.305447036
-5.863243909,2.205757532
-5.864432749,2.105833573
-5.865690303,2.006103827
-5.866904114,1.906331426
-5.867797362,1.806594254
-5.868138665,1.706989211
-5.867797812,1.607064467
-5.865440021,1.507031338
-5.858615343,1.407238174
-5.846262428,1.307962200
-5.828367347,1.209732879
-5.804892412,1.112510930
-5.775812418,1.016818979
-5.740200350,0.923511771
-5.696693854,0.833430603
-5.645251814,0.748022335
-5.585689505,0.667732572
-5.518496742,0.594019593
-5.443873231,0.527701160
-5.362597718,0.469655434
-5.275837466,0.420182149
-5.185104763,0.378132491
-5.091628733,0.342549565
-4.996164005,0.313234127
-4.898893015,0.290094800
-4.800276873,0.273374423
-4.700986212,0.262449713
-4.601131781,0.255690494
-4.501726696,0.252113819
-4.401805231,0.250992037
-4.302113389,0.251389383
-4.202331984,0.252529407
-4.102529501,0.254493857
-4.002688187,0.257083880
-3.903002959,0.259544877
-3.802872324,0.261683935
-3.703385424,0.263677443
-3.602940785,0.265609315
-3.503630827,0.267433309
-3.403171309,0.269224313
-3.303800703,0.270978703
-3.203427613,0.272752827
-3.103935791,0.274527506
-3.003625619,0.276344419
-2.904046860,0.278179757
-2.803801847,0.280046198
-2.704175302,0.281900546
-2.603975172,0.283733848
-2.504213246,0.285489016
-2.404185256,0.287117943
-2.304184542,0.288564234
-2.204349610,0.289844136
-2.104321729,0.290999452
-2.004522376,0.292061953
-1.904551965,0.293071384
-1.804713346,0.294048042
-1.704760190,0.295011343
-1.604905273,0.295966291
-1.504975263,0.296916347
-1.405103879,0.297861507
-1.305190572,0.298803704
-1.205307159,0.299743250
-1.105407132,0.300681542
-1.005514328,0.301618723
-0.905627355,0.302554794
-0.805728955,0.303490575
-0.705845023,0.304426661
-0.605940992,0.305357931
-0.506071901,0.306272545
-0.406174794,0.307148146
-0.306290712,0.307950451
-0.206386811,0.308628312
-0.106395517,0.309115030
-0.006454466,0.309381624
0.093535802,0.309442953
0.193488985,0.309341938
0.293362486,0.309156112
0.393317854,0.308945114
0.493170433,0.308741581
0.593141619,0.308570684
0.693004843,0.308451174
0.792980936,0.308394486
0.892837371,0.308403055
0.992809793,0.308479286
1.092676344,0.308626562
1.192628794,0.308847331
1.292512851,0.309141397
1.392427809,0.309507714
1.492339946,0.309943257
1.592204097,0.310442903
1.692141545,0.311000832
1.791956579,0.311613177
1.891916780,0.312282069
1.991708876,0.313009818
2.091596342,0.313806299
2.191476345,0.314687516
